symbol,ts,open,high,low,close,volume,timeframe
AAPL,2026-04-07 18:19:00,251.73,251.8,251.69,251.73,22437.0,1m
AAPL,2026-04-07 18:20:00,251.73,251.74,251.62,251.68,20278.0,1m
AAPL,2026-04-07 18:21:00,251.7,251.7,251.61,251.69,20252.0,1m
AAPL,2026-04-07 18:22:00,251.68,251.8,251.68,251.7,25033.0,1m
AAPL,2026-04-07 18:23:00,251.7,251.7,251.45,251.49,45635.0,1m
AAPL,2026-04-07 18:24:00,251.51,251.51,251.29,251.36,59500.0,1m
AAPL,2026-04-07 18:25:00,251.36,251.48,251.35,251.41,24318.0,1m
AAPL,2026-04-07 18:26:00,251.41,251.46,251.31,251.41,30857.0,1m
AAPL,2026-04-07 18:27:00,251.41,251.45,251.34,251.34,34396.0,1m
AAPL,2026-04-07 18:28:00,251.35,251.48,251.33,251.34,28247.0,1m
AAPL,2026-04-07 18:29:00,251.34,251.42,251.29,251.33,29028.0,1m
AAPL,2026-04-07 18:30:00,251.33,251.59,251.33,251.39,37653.0,1m
AAPL,2026-04-07 18:31:00,251.36,251.37,251.09,251.17,84814.0,1m
AAPL,2026-04-07 18:32:00,251.17,251.26,251.14,251.26,77665.0,1m
AAPL,2026-04-07 18:33:00,251.24,251.34,251.15,251.23,39399.0,1m
AAPL,2026-04-07 18:34:00,251.22,251.37,251.22,251.36,26304.0,1m
AAPL,2026-04-07 18:35:00,251.36,251.4,251.28,251.4,29707.0,1m
AAPL,2026-04-07 18:36:00,251.39,251.43,251.3,251.36,25366.0,1m
AAPL,2026-04-07 18:37:00,251.36,251.37,251.14,251.19,32198.0,1m
AAPL,2026-04-07 18:38:00,251.2,251.29,251.18,251.25,29587.0,1m
AAPL,2026-04-07 18:39:00,251.25,251.31,251.12,251.18,33848.0,1m
AAPL,2026-04-07 18:40:00,251.19,251.21,250.98,251.01,70151.0,1m
AAPL,2026-04-07 18:41:00,251.02,251.19,251.0,251.15,53923.0,1m
AAPL,2026-04-07 18:42:00,251.15,251.35,251.14,251.26,30538.0,1m
AAPL,2026-04-07 18:43:00,251.26,251.29,251.1,251.17,38164.0,1m
AAPL,2026-04-07 18:44:00,251.17,251.26,251.13,251.14,26679.0,1m
AAPL,2026-04-07 18:45:00,251.13,251.13,250.79,250.93,64233.0,1m
AAPL,2026-04-07 18:46:00,250.93,250.93,250.83,250.84,40962.0,1m
AAPL,2026-04-07 18:47:00,250.84,250.99,250.8,250.89,36977.0,1m
AAPL,2026-04-07 18:48:00,250.89,250.9,250.8,250.82,35849.0,1m
AAPL,2026-04-07 18:49:00,250.81,250.93,250.66,250.72,68432.0,1m
AAPL,2026-04-07 18:50:00,250.7,250.75,250.62,250.74,44773.0,1m
AAPL,2026-04-07 18:51:00,250.76,250.76,250.6,250.64,30909.0,1m
AAPL,2026-04-07 18:52:00,250.65,250.65,250.43,250.47,50819.0,1m
AAPL,2026-04-07 18:53:00,250.48,250.55,250.4,250.42,45914.0,1m
AAPL,2026-04-07 18:54:00,250.44,250.44,250.3,250.34,34562.0,1m
AAPL,2026-04-07 18:55:00,250.32,250.37,250.13,250.14,69640.0,1m
AAPL,2026-04-07 18:56:00,250.15,250.23,250.12,250.2,50384.0,1m
AAPL,2026-04-07 18:57:00,250.22,250.35,250.22,250.31,32255.0,1m
AAPL,2026-04-07 18:58:00,250.32,250.43,250.29,250.35,57412.0,1m
AAPL,2026-04-07 18:59:00,250.34,250.42,250.31,250.4,26704.0,1m
AAPL,2026-04-07 19:00:00,250.38,250.46,250.33,250.41,34494.0,1m
AAPL,2026-04-07 19:01:00,250.41,250.41,250.2,250.24,21809.0,1m
AAPL,2026-04-07 19:02:00,250.3,250.53,250.27,250.48,36812.0,1m
AAPL,2026-04-07 19:03:00,250.47,250.58,250.32,250.36,28828.0,1m
AAPL,2026-04-07 19:04:00,250.35,250.43,250.35,250.41,32179.0,1m
AAPL,2026-04-07 19:05:00,250.41,250.54,250.32,250.47,52087.0,1m
AAPL,2026-04-07 19:06:00,250.46,250.54,250.39,250.5,44024.0,1m
AAPL,2026-04-07 19:07:00,250.5,250.5,250.27,250.46,28306.0,1m
AAPL,2026-04-07 19:08:00,250.47,251.0,250.43,250.93,82878.0,1m
AAPL,2026-04-07 19:09:00,250.93,250.99,250.77,250.78,44136.0,1m
AAPL,2026-04-07 19:10:00,250.78,251.02,250.76,250.92,60976.0,1m
AAPL,2026-04-07 19:11:00,250.91,251.26,250.91,251.11,74429.0,1m
AAPL,2026-04-07 19:12:00,251.1,251.18,251.04,251.08,48553.0,1m
AAPL,2026-04-07 19:13:00,251.11,251.21,251.02,251.19,27428.0,1m
AAPL,2026-04-07 19:14:00,251.16,251.24,251.12,251.14,40282.0,1m
AAPL,2026-04-07 19:15:00,251.12,251.24,251.11,251.19,26884.0,1m
AAPL,2026-04-07 19:16:00,251.2,251.49,251.2,251.38,51605.0,1m
AAPL,2026-04-07 19:17:00,251.37,251.43,251.26,251.31,58689.0,1m
AAPL,2026-04-07 19:18:00,251.31,251.87,251.31,251.8,88105.0,1m
AAPL,2026-04-07 19:19:00,251.8,252.33,251.76,252.21,138433.0,1m
AAPL,2026-04-07 19:20:00,252.19,252.5,252.01,252.15,92570.0,1m
AAPL,2026-04-07 19:21:00,252.15,252.17,251.83,251.88,66132.0,1m
AAPL,2026-04-07 19:22:00,251.89,252.12,251.86,252.09,61715.0,1m
AAPL,2026-04-07 19:23:00,252.09,252.1,251.62,251.62,57068.0,1m
AAPL,2026-04-07 19:24:00,251.65,251.95,251.58,251.86,65281.0,1m
AAPL,2026-04-07 19:25:00,251.88,252.05,251.75,252.01,51538.0,1m
AAPL,2026-04-07 19:26:00,252.0,252.12,251.83,251.99,47600.0,1m
AAPL,2026-04-07 19:27:00,251.98,252.27,251.92,252.23,66012.0,1m
AAPL,2026-04-07 19:28:00,252.23,252.29,252.11,252.14,39096.0,1m
